time,symbol,side,lots,price,pnl,cost
2026-07-02 11:00:00,SR_IDX,OPEN_SHORT,4.0,5322.0,,
2026-07-02 11:00:00,ZN_IDX,OPEN_SHORT,1.0,24475.0,,
2026-07-02 11:00:00,RU_IDX,OPEN_SHORT,1.0,16885.0,,
2026-07-02 14:25:00,CF_IDX,CLOSE_SHORT,,,-800.0,59.792
2026-07-02 14:25:00,SR_IDX,CLOSE_SHORT,,,80.0,50.64
2026-07-02 14:25:00,ZN_IDX,CLOSE_SHORT,,,225.0,28.6645
2026-07-02 14:25:00,RU_IDX,CLOSE_SHORT,,,250.0,63.488
2026-07-02 14:25:00,AL_IDX,OPEN_LONG,1.0,22415.0,,
2026-07-02 14:25:00,HC_IDX,OPEN_LONG,6.0,3279.0,,
2026-07-02 14:25:00,MA_IDX,OPEN_LONG,9.0,2370.0,,
2026-07-02 14:25:00,LC_IDX,OPEN_SHORT,1.0,165460.0,,
2026-07-02 14:25:00,P_IDX,OPEN_SHORT,2.0,9345.0,,
2026-07-02 14:25:00,FG_IDX,OPEN_SHORT,11.0,978.0,,
2026-07-02 21:25:00,MA_IDX,STOP_LOSS_LONG,,,-2160.0,106.8912
2026-07-03 09:10:00,LC_IDX,STOP_LOSS_SHORT,,,-4960.0,63.6336
2026-07-03 11:00:00,C_IDX,CLOSE_LONG,,,1080.0,98.3484
2026-07-03 11:00:00,AL_IDX,CLOSE_LONG,,,675.0,28.3825
2026-07-03 11:00:00,HC_IDX,CLOSE_LONG,,,240.0,79.69800000000001
2026-07-03 11:00:00,P_IDX,CLOSE_SHORT,,,620.0,49.314
2026-07-03 11:00:00,FG_IDX,CLOSE_SHORT,,,660.0,241.45
2026-07-03 11:00:00,JM_IDX,OPEN_LONG,2.0,1321.0,,
2026-07-03 11:00:00,ZN_IDX,OPEN_LONG,1.0,24355.0,,
2026-07-03 11:00:00,SR_IDX,OPEN_SHORT,4.0,5323.0,,
2026-07-03 11:00:00,CF_IDX,OPEN_SHORT,2.0,16335.0,,
2026-07-03 11:00:00,C_IDX,OPEN_SHORT,9.0,2319.0,,
2026-07-03 11:00:00,RU_IDX,OPEN_SHORT,1.0,16835.0,,
2026-07-03 13:10:00,JM_IDX,STOP_LOSS_LONG,,,-5760.0,82.914
2026-07-03 13:40:00,ZN_IDX,STOP_LOSS_LONG,,,-1250.0,28.61575
2026-07-03 14:25:00,SR_IDX,CLOSE_SHORT,,,440.0,50.624
2026-07-03 14:25:00,CF_IDX,CLOSE_SHORT,,,650.0,59.762
2026-07-03 14:25:00,C_IDX,CLOSE_SHORT,,,1800.0,98.2764
2026-07-03 14:25:00,RU_IDX,CLOSE_SHORT,,,-100.0,63.476
